title,description,similarity_score
"Vocational Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary Teach or instruct vocational or occupational subjects at the postsecondary level (but at less than the baccalaureate) to students who have graduated or left high school. Includes correspondence school, industrial, and commercial instructors; and adult education teachers and instructors who prepare persons to operate industrial machinery and equipment and transportation and communications equipment. Teaching may take place in public or private schools whose primary business is education or in a school associated with an organization whose primary business is other than education.",0.16919082979156194
Remote Sensing Scientists and Technologists,"Remote Sensing Scientists and Technologists Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.",0.1524186419452702
"Education Teachers, Postsecondary","Education Teachers, Postsecondary Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.14375540286859403
"Education, Training, and Library Workers, All Other","Education, Training, and Library Workers, All Other All education, training, and library workers not listed separately.",0.14350435823372043
"Education Administrators, All Other","Education Administrators, All Other All education administrators not listed separately.",0.14080299206674746
Graduate Teaching Assistants,"Graduate Teaching Assistants Assist faculty or other instructional staff in postsecondary institutions by performing teaching or teaching-related duties, such as teaching lower level courses, developing teaching materials, preparing and giving examinations, and grading examinations or papers. Graduate teaching assistants must be enrolled in a graduate school program. Graduate assistants who primarily perform non-teaching duties, such as research, should be reported in the occupational category related to the work performed.",0.13932501335863548
"Special Education Teachers, All Other","Special Education Teachers, All Other All special education teachers not listed separately.",0.13610635018908035
Adult Basic and Secondary Education and Literacy Teachers and Instructors,"Adult Basic and Secondary Education and Literacy Teachers and Instructors Teach or instruct out-of-school youths and adults in remedial education classes, preparatory classes for the General Educational Development test, literacy, or English as a Second Language. Teaching may or may not take place in a traditional educational institution.",0.13189550855920992
Clinical Data Managers,"Clinical Data Managers Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",0.12997883777148886
Management Analysts,"Management Analysts Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",0.1212193707433701
"Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs.",0.11806380961417302
"Business Teachers, Postsecondary","Business Teachers, Postsecondary Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",0.11690475123388466
Health Educators,"Health Educators Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Collect and analyze data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May serve as a resource to assist individuals, other healthcare workers, or the community, and may administer fiscal resources for health education programs.",0.11580766351082424
City and Regional Planning Aides,"City and Regional Planning Aides Compile data from various sources, such as maps, reports, and field and file investigations, for use by city planner in making planning studies.",0.11572531050116212
Data Warehousing Specialists,"Data Warehousing Specialists Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",0.11389351861712597
Online Merchants,"Online Merchants Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",0.10911439063041362
Industrial-Organizational Psychologists,"Industrial-Organizational Psychologists Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",0.10856409415511098
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education.",0.10688177113860145
"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education Teach students basic academic, social, and other formative skills in public or private schools at the elementary level.",0.10590752582480067
Training and Development Specialists,Training and Development Specialists Design and conduct training and development programs to improve individual and organizational performance. May analyze training needs.,0.105261214937142
School Psychologists,School Psychologists Investigate processes of learning and teaching and develop psychological principles and techniques applicable to educational problems.,0.10177127922061702
Nurse Midwives,"Nurse Midwives Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized, graduate nursing education.",0.10055617356210211
"Directors, Religious Activities and Education","Directors, Religious Activities and Education Plan, direct, or coordinate programs designed to promote the religious education or activities of a denominational group. May provide counseling and guidance relative to marital, health, financial, and religious problems.",0.09942203399938604
Program Directors,"Program Directors Direct and coordinate activities of personnel engaged in preparation of radio or television station program schedules and programs, such as sports or news.",0.09904420471768241
Instructional Designers and Technologists,"Instructional Designers and Technologists Develop instructional materials and products and assist in the technology-based redesign of courses. Assist faculty in learning about, becoming proficient in, and applying instructional technology.",0.09849260115611995
Data Entry Keyers,"Data Entry Keyers Operate data entry device, such as keyboard or photo composing perforator. Duties may include verifying data and preparing materials for printing.",0.09579459103302357
"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School Teach secondary school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.",0.08768919758439972
Training and Development Managers,"Training and Development Managers Plan, direct, or coordinate the training and development activities and staff of an organization.",0.08751282540146152
"Special Education Teachers, Middle School","Special Education Teachers, Middle School Teach middle school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.",0.0863801049966322
Adapted Physical Education Specialists,"Adapted Physical Education Specialists Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.",0.08615487493918389
Environmental Restoration Planners,"Environmental Restoration Planners Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.",0.08555523282216015
"Special Education Teachers, Kindergarten and Elementary School","Special Education Teachers, Kindergarten and Elementary School Teach elementary school subjects to educationally and physically handicapped students. Includes teachers who specialize and work with audibly and visually handicapped students and those who teach basic academic and life processes skills to the mentally impaired.",0.08540535634008425
"Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special and Career/Technical Education Teach students in one or more subjects, such as English, mathematics, or social studies at the secondary level in public or private schools. May be designated according to subject matter specialty.",0.0850501889236763
"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools.",0.08492554857554518
"Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School Teach occupational, career and technical, or vocational subjects at the secondary school level in public or private schools.",0.08479063302289923
Risk Management Specialists,"Risk Management Specialists Analyze and manage risk management issues by identifying, measuring, and making decisions on operational or enterprise risks for an organization.",0.08423065231693427
Distance Learning Coordinators,Distance Learning Coordinators Coordinate day-to-day operations of distance learning programs and schedule courses.,0.0841335408604108
Social Science Research Assistants,"Social Science Research Assistants Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",0.08324958995665245
Operations Research Analysts,"Operations Research Analysts Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, service, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",0.08166306678859042
Water/Wastewater Engineers,"Water/Wastewater Engineers Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",0.08063362537211412
"Education Administrators, Postsecondary","Education Administrators, Postsecondary Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges.",0.07988619352751189
Social and Community Service Managers,"Social and Community Service Managers Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",0.07909402144299446
Information Technology Project Managers,"Information Technology Project Managers Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",0.07864199960924674
